model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r1i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r1i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r1i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r1i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r1i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r2i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r2i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r2i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r2i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r2i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r2i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r2i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r2i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r2i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r3i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r3i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r3i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r3i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r3i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r3i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r3i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r3i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r3i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r4i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r4i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r4i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r4i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r4i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r4i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r4i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r4i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r4i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r5i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r5i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r5i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r5i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r5i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r5i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r5i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r5i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp245, ensemble=r5i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp370, ensemble=r1i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp370, ensemble=r1i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp370, ensemble=r1i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp370, ensemble=r1i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp370, ensemble=r1i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp370, ensemble=r1i1p1f1, variable=tasmin Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp370, ensemble=r1i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp370, ensemble=r1i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp370, ensemble=r1i1p1f1, variable=pr Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp370, ensemble=r2i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp370, ensemble=r2i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
model=ACCESS-ESM1-5, scenario=ssp370, ensemble=r2i1p1f1, variable=tasmax Error: [Errno 13] Unable to synchronously create file (unable to open file: name = '/data/MyDataBase/climate_change/LOCA2_extracted.h5', errno = 13, error message = 'Permission denied', flags = 13, o_flags = 242)
